what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626638
error,log,,,"Error in JSDT Core during AST creation",1306487626641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1306487626669
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626696
error,log,,,"Error in JSDT Core during AST creation",1306487626699
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626795
error,log,,,"Error in JSDT Core during AST creation",1306487626798
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626842
error,log,,,"Error in JSDT Core during AST creation",1306487626845
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626879
error,log,,,"Error in JSDT Core during AST creation",1306487626881
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626915
error,log,,,"Error in JSDT Core during AST creation",1306487626917
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626957
error,log,,,"Error in JSDT Core during AST creation",1306487626961
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487626996
error,log,,,"Error in JSDT Core during AST creation",1306487627000
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627067
error,log,,,"Error in JSDT Core during AST creation",1306487627070
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627104
error,log,,,"Error in JSDT Core during AST creation",1306487627107
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627139
error,log,,,"Error in JSDT Core during AST creation",1306487627142
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627175
error,log,,,"Error in JSDT Core during AST creation",1306487627178
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627215
error,log,,,"Error in JSDT Core during AST creation",1306487627218
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627282
error,log,,,"Error in JSDT Core during AST creation",1306487627285
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627315
error,log,,,"Error in JSDT Core during AST creation",1306487627318
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627353
error,log,,,"Error in JSDT Core during AST creation",1306487627356
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627390
error,log,,,"Error in JSDT Core during AST creation",1306487627392
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627425
error,log,,,"Error in JSDT Core during AST creation",1306487627427
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627466
error,log,,,"Error in JSDT Core during AST creation",1306487627468
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627540
error,log,,,"Error in JSDT Core during AST creation",1306487627542
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627573
error,log,,,"Error in JSDT Core during AST creation",1306487627576
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627625
error,log,,,"Error in JSDT Core during AST creation",1306487627627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627663
error,log,,,"Error in JSDT Core during AST creation",1306487627666
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627699
error,log,,,"Error in JSDT Core during AST creation",1306487627702
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627735
error,log,,,"Error in JSDT Core during AST creation",1306487627738
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627804
error,log,,,"Error in JSDT Core during AST creation",1306487627806
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627836
error,log,,,"Error in JSDT Core during AST creation",1306487627838
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627868
error,log,,,"Error in JSDT Core during AST creation",1306487627870
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627910
error,log,,,"Error in JSDT Core during AST creation",1306487627913
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627946
error,log,,,"Error in JSDT Core during AST creation",1306487627949
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487627978
error,log,,,"Error in JSDT Core during AST creation",1306487627981
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1306487628035
error,log,,,"Error in JSDT Core during AST creation",1306487628037
