what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1331370005781
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1331370005796
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1331370005952
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1331370006701
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1331370008184
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370056513
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370077044
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1331370077044
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1331370086451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370135983
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370137652
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370139555
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370144704
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370157387
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370184191
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370186624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370194034
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370195314
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370196140
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1331370196312
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1331370197123
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1331370197123
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1331370197123
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core.ui",1331370197123
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1331370197123
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1331370197123
